Company_name,City,Country,Business,Products,Tags,Fax,Telephone,Email,Web_Site,WhatsApp,Mobile,Linkedin
Agricola Filippone,Petralia Sottana, Italy,"['Exporter - Exporter', 'Producer - Producer and trader', 'Wholesaler - Producer and trader']","[{'Aromatic herbs': {'Convention.': False, 'Integrated': False, 'Organic': True, 'Biodynamic': False, 'Hydroponic': False}}]","['Laurel', 'Organic farming', 'Aromatic herbs', 'Oregano', 'Capsicum', 'Rosemary', 'Sage', 'Spices', 'Thyme']",-,-,info@agricolafilippone.it,-,-,-,-
AZ. AGRICOLA IBLEAGRUMI S.R.L.S.,Comiso, Italy,"['Exporter - Exporter', 'Producer - Producer and trader', 'Wholesaler - Producer and trader', 'Wholesaler - Wholesale']","[{'Fresh fruits': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Oranges': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peppers': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Vegetables': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Tomatoes': {'Convention.': True, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Oranges', 'Fresh fruits', 'Vegetables', 'Peppers', 'Tomatoes']",-,-,ibleagrumi@gmail.com,https://www.ibleagrumi.com,-,+393247789011,-
Excellent Fruit B&M,Adrano, Italy,"['Exporter - Export - Import', 'Exporter - Exporter', 'Importer - Export - Import', 'Importer - Importer', 'Producer - Producer', 'Producer - Producer and trader', 'Retailer - Foodstuffs', 'Wholesaler - Producer', 'Wholesaler - Producer and trader']",[],[],-,-,excellentfruitb.m@gmail.com,-,-,+393291133431,-
F.LLI REDAVID S.A.S.,Rutigliano, Italy,['Exporter - Exporter'],"[{'Grapes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peas': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Peas', 'Grapes']",-,-,info@fratelliredavid.com,-,-,+393404638530,-
Ortofrutticola Milanese S.r.l.,Milano, Italy,"['Exporter - Export - Import', 'Exporter - Exporter', 'Importer - Export - Import', 'Importer - Importer', 'Producer - Direct from farm', 'Producer - Producer and trader', 'Retailer - Foodstuffs', 'Wholesaler - Distributor', 'Wholesaler - Producer and trader', 'Wholesaler - Wholesale']","[{'Fresh fruits': {'Convention.': True, 'Integrated': True, 'Organic': True, 'Biodynamic': True, 'Hydroponic': True}}, {'Vegetables': {'Convention.': True, 'Integrated': True, 'Organic': True, 'Biodynamic': True, 'Hydroponic': True}}]",[],-,+390284171796,amministrazione@ortofrutticolamilanese.it,-,-,+393289596705,-
Profood SRL,Bisceglie, Italy,"['Agent - Agent', 'Exporter - Exporter']","[{'Fresh fruits': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Vegetables': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Fresh fruits', 'Vegetables']",-,+390803956979,info@profoodsrl.it,https://profoodsrl.it,-,-,-
Società Agricola La Verde Marina Srl,Pontecagnano Faiano, Italy,"['Exporter - Exporter', 'Producer - Direct from farm', 'Producer - Producer', 'Wholesaler - Producer']","[{'Parsley': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Baby leaf': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Baby leaf', 'French endive', 'Lettuce', 'Parsley', 'Rocket', 'Spinach']",-,+39089200357,commerciale@gruppovillecco.it,-,-,-,-
Verde Oro S.c.a.r.l.,Pachino, Italy,"['Exporter - Export - Import', 'Exporter - Exporter', 'Fruit and Vegetable Processing - Fruit processing industry', 'Importer - Export - Import', 'Producer - Producer', 'Producer - Producer and trader', 'Wholesaler - Distributor', 'Wholesaler - Producer', 'Wholesaler - Producer and trader']","[{'Tomatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Cherry tomatoes': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': True}}]","['Tomatoes', 'Cherry tomatoes', 'Datterino Tomatoes', 'Greenhouse tomatoes', 'Mini San Marzano tomatoes', 'Heart Tomato']",-,-,verdeoropachino@gmail.com,www.verdeoropachino.it,-,+393927419536,-
ADFRUIT di CORDIOLI ADELINO,Lugagnano, Italy,['Exporter - Exporter'],"[{'Kiwi': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Peaches': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Nectarines': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Plums': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Peaches', 'Conventional farming', 'Kiwi', 'Nectarines', 'Plums']",+390458682816,+390458681140,amministrazione@adfruit.it,www.adfruit.it,-,+393482217618,-
AGRI D.O.C. 2 O.P. S.c. a r.l.,Cantinella di Corigliano, Italy,"['Exporter - Exporter', 'Producer - Producer and trader', 'Wholesaler - Producer and trader']","[{'Watermelons': {'Convention.': True, 'Integrated': False, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}, {'Citrus fruits': {'Convention.': False, 'Integrated': True, 'Organic': False, 'Biodynamic': False, 'Hydroponic': False}}]","['Citrus fruits', 'Watermelons', 'Integrated farming', 'Conventional farming']",+390983808970,+39098380125,agridoc2@tiscali.it,www.calabriagrumi.it,-,+393483801498,-
